Character Name,Nationality,Ethnicity,Age,Born,Died,Eye color,Hair color,Skin color,Pronouns,Allies,Enemies,Weapon of choice,Profession,Position,Affiliation,First appearance,Last appearance,Voiced by
Akanah,"Republic City,United Republic",Republicans,N/A,N/A,N/A,Green,Brown,Tan,She/her,Ruo Ling,N/A,N/A,Teacher,Headmistress of the Dragon Flats Reform School,Dragon Flats Reform School,Avatar Legends: The Roleplaying Game-Republic City(only appearance),N/A,N/A
Akataa,Jasmine Island,Jasmine Islander,N/A,N/A,N/A,Green,Brown,Brown,They/them,"Aiko, Basalt, Siku, Fu Meili,Lu Ten","Yueya,Zhao",Staff,Soldier,Leaderof theJasmine Island protectors,Jasmine Island protectors,Uncle Iroh's Adventure Guide(only appearance),N/A,N/A
Akemi,"Republic City,United Republic",Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,N/A,BadgermoleTriad,Fire,Smuggler,N/A,N/A,Avatar Legends: The Roleplaying Game-Republic City(only appearance),N/A,N/A
Akuudan,Southern Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,He/him,"AvatarYangchen,Kavik,Jujinta","Chaisee,Kalyaan,Shang merchants,Thapa,ZongduHenshe",Water,WarriorInnkeeper,N/A,ChiefOyaluk(formerly)Water TribesYangchen's network,"""A Place to Lay One's Head""","""The Path Forward""",N/A
Amak,"Agna Qel'a,Northern Water Tribe",Water Tribe,N/A,N/A,296BG,Pale blue,Black,Brown,He/him,"Jianzhu,Hei-Ran,Kelsang,Yun,Kyoshi","Fifth Nation,Tagaka",Water,Assassin(formerly)Waterbending instructor,Waterbending master,Contract employer,"""The Iceberg""",Avatar: Generations,N/A
Amon,Northern Water Tribe,Water Tribe,40,130AG,170 AG,Blue,Brown,Tan,He/him,Hiroshi Sato,"Tarrlok,Tenzin,Lin Beifong,Bumi,Lieutenant,Saikhan,Yakone,benders,Metalbending Police Force,Tarrlok's task force,Team Avatar,Triple Threat Triad,United Forces,United Republic Council, more ...",Water,Equalist leader(formerly),Bloodbending masterChi-blocking masterNorthern Water Tribecitizen(formerly)Revolutionary leader(formerly)United Republic fugitive(formerly)Waterbending master,Equalists(formerly)Northern Water Tribe(formerly),"""Welcome to Republic City""","""Remembrances""(flashback only)",Steve BlumJacob Bertrand(ages 6-10)Alexander Martella(age 14)
Amrita,"Republic City,United Republic",Earth Kingdom,N/A,N/A,N/A,Green,Black,Tan,She/her,"Jargala Omo,Creeping Crystal Triad",N/A,Earth,Mobster,Lieutenant of the Creeping Crystal TriadMaster earthbender,Creeping Crystal Triad,Movers & Shakers(only appearance),N/A,N/A
Anada,Air Nomads,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,She/her,Her grandmother,N/A,Fire,EngineerNun,N/A,N/A,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Analay,N/A,Unknown,N/A,N/A,N/A,Purple,Black with red highlights,Pale,She/her,"Riley,Hiroshi,Visola, Genji,Yahshi,Team Avatar",N/A,Shadows,N/A,N/A,Unnamed team,"""New Recruits""(only appearance)",N/A,N/A
Aniki,"Grey Wolf Village,Southern Water Tribe",Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,She/her,"Minaq,Teek",N/A,Water,N/A,N/A,N/A,Avatar Legends: The Roleplaying Game-Quickstart(only appearance),N/A,N/A
Animal control officer,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,He/him,The butcher,"Momo, threepygmy pumas",Earth,Officer,N/A,N/A,"""The Tales of Ba Sing Se""(only appearance)",N/A,Dee Bradley Baker
Anri,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,She/her,"Lulu,Peng,Maolo,Flying Koi performers",N/A,Earth,ArtistCarnival performerCriminal,Apprentice to Maolo,Flying Koi Carnival,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Aoma,"Yokoya,Earth Kingdom",Yokoyan,N/A,c. 312BG,N/A,Light green,Brown,Light,She/her,"Her parents,Suzu,Jae","Kyoshi,Rangi",Earth,Farmer,Daughter of Yokoya's village captain,Yokoya,"""Nine Years Later""",Avatar: Generations,N/A
Appa,Eastern Air Temple,Air Nomad,N/A,N/A,N/A,Brown,White and brown,Light,He/him,"Team Avatar, Air Nomads,Kyoshi Warriors,Pathik, more ...","Azula,Ozai,Combustion Man,Zhao,Long Feng, theDai Li,Shuzumu,circus trainer,Ghashiun,Si Wong tribes,beetle-headed merchants, more ...",Air,N/A,Aang's sky bison(animal guide),Air NomadsTeam Avatar,"""The Boy in the Iceberg""",Avatar: The Last Airbender: My Cabbages!,Dee Bradley Baker
Appa's mother,Eastern Air Temple,Air Nomad,N/A,N/A,N/A,Gray,White and brown,Light,She/her,Air Nomads,N/A,Air,N/A,Mother sky bison,Air Nomads,"""Appa's Lost Days""(flashback only)(only appearance)",N/A,Dee Bradley Baker
Ara,Fifth Nation,Fifth Nation,N/A,N/A,N/A,Blue,Brown,Brown,She/her,"Joh,Fu Karaq,Revik,Yarru,Chidaw,Hei-Ran,Tei Eesoni","Fifth Nation,Mirlon,Tagaka,Erchtei",Blades,Pirate(formerly)Soldier,Jasmine Island protector,Fifth Nation(formerly)Jasmine Island protectors,Uncle Iroh's Adventure Guide(only appearance),N/A,N/A
Arik,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Brown,Tan,He/him,"Hiscaptain, theco-pilot,Kong,Korra,Asami",N/A,Earth,Airman,Guard,Earth Kingdom Air Force,"""Long Live the Queen""(only appearance)",N/A,David Kaufman
Arnook,"Agna Qel'a,Northern Water Tribe",Water Tribe,50,50AG,N/A,Blue,Black,Tan,He/him,"Team Avatar,Pakku,Hahn,La,Tui, Northern Water Tribe","Zhao,Fire Nation",Water,N/A,Chiefof the Northern and Southern Water Tribe,Northern Water Tribe,"""The Waterbending Master""","""The Siege of the North, Part 2""",Jon Polito
Asami Sato,"Republic City,United Republic",Fire Nation,18,152AG,N/A,Light green,Raven black,Light,She/her,"Team Avatar,Lin Beifong,Tenzinand his family,Tonraq,Iroh,Senna,Gommu,Future Industries,Suyin Beifong,Kai,Kya, more ...","Amon,Tarrlok,Unalaq,Lieutenant,Agni Kai Triad,Equalists,Red Lotus,Earth Empire",Fire,"BusinesswomanEngineerIndustrialistSoldier(brainwashed, formerly)","Chief Executive Officer of Future IndustriesPrivate in the military of the Earth Empire(brainwashed, formerly)Upper-class United Republiccitizen","Guan's army(brainwashed, formerly)Future IndustriesSato familyTeam Avatar","""The Voice in the Night""",Mystery of Penquan Island,Seychelle Gabriel
Ashō,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,N/A,N/A,Fire,AdventurerAuthor,N/A,N/A,"""A Way Through""(mentioned only)",N/A,N/A
Ashoona,N/A,Unknown,70,N/A,N/A,Brown,White,Tan,He/him,Shang merchants,N/A,N/A,Shang merchant,ZongduofPort Tuugaq,Shang merchants,"""Baited""","""Bereavement""",N/A
Ashuna,"Wolf Cove,Southern Water Tribe",Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,She/her,"Katara,Niyok,Nutha,Sokka",N/A,Water,N/A,N/A,N/A,North and South Part One(only appearance),N/A,N/A
Atuat,"Agna Qel'a,Northern Water Tribe",Water Tribe,N/A,N/A,N/A,Light blue,Black,Brown,She/her,"Hei-Ran,Rangi,Kyoshi,Jinpa,Zoryu,Nyahitha",Yun,Water,DoctorHealinginstructor toAvatarKyoshi,Master healer,Northern Water Tribe,"""The Headmistress""","""Escalation""",N/A
Aupilaarjuk,Southern Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,She/her,"Order of the White Lotus,Northern Water Tribe,Southern Water Tribe",N/A,Water,Courier,N/A,Order of the White LotusNorthern Water TribeSouthern Water Tribe,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Ayunerak,Northern Water Tribe,Water Tribe,N/A,N/A,N/A,Pale blue,Black,Brown,He/him,"Order of the White Lotus,Kavik,AvatarYangchen",Shang merchants,Water,Cook,Head of food kitchen for the unemployedVery high-ranking member of the Order of the White Lotus,Order of the White Lotus,"""Forgiveness""",Epilogue,N/A
Azula,"Fire Nation Capital,Fire Nation",Fire Nation,14,85AG,N/A,Amber gold,Black,Light,She/her,"Fire Nation,Joo Dee","Iroh,Team Avatar,Kuei,Long Feng,Mai,Ty Lee,Earth Kingdom,Kyoshi Warriors,Water Tribes, more ...",Fire,N/A,Crown Princessof the Fire Nation(formerly)Firebending masterHead of the Dai Li(formerly)Leader of theFire Warriors(formerly)Princess of the Fire NationPrincess Regent(overthrown by Zuko before her coronation),Azula's team(formerly)Dai Li(formerly)Fire NationFire Nation Royal FamilyFire Warriors(formerly)Royal Fire Academy for Girls(formerly),"""The Storm""(flashback only)",Ashes of the Academy(flashback only),Grey DeLisle(inAvatar: The Last Airbender)Suzie Yeung(inAvatar: GenerationsandQuest for Balance)
Azula's ship captain,Fire Nation,Fire Nation,N/A,N/A,N/A,Gold,Brown,Light,He/him,"Azula, Fire Nation,Royal Procession","Iroh,Zuko",Fire,N/A,Royal ship captain,Royal Procession,"""The Avatar State""(only appearance)",N/A,Robin Atkin Downes
Azulon,"Fire Nation Capital,Fire Nation",Fire Nation,95,0AG,95 AG,Brown,White,Light,He/him,"Iroh, Fire Nation,Fire Nation military,Sozin","Ozai,Zuko,Ursa,Earth Kingdom,Water Tribes,Crimson Sails Armada",Fire,N/A,Crown Princeof the Fire Nation(formerly)General(formerly)Fire LordFirebending master,Fire NationFire Nation Royal FamilyMilitary of the Fire Nation,"""Zuko Alone""(flashback only)",Mystery of Penquan Island(portrait),Walker Edmiston
Ba Sing Se airship captain,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Graying,Light,He/him,"Hisco-pilot,Arik,Kong,Korra,Asami",N/A,Earth,Airman,Captain,Earth Kingdom Air Force,"""Long Live the Queen""(only appearance)",N/A,Keythe Farley
Ba Sing Se airship co-pilot,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Graying,Light,He/him,"Hiscaptain,Arik,Kong,Korra,Asami",N/A,Earth,Airman,Co-pilot,Earth Kingdom Air Force,"""Long Live the Queen""(only appearance)",N/A,Jeff Bennett
Ba Sing Se University student,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Blueish green,Black,Light,He/him,"Zei,Ba Sing Se University",N/A,Earth,College student,N/A,Ba Sing Se University,"""City of Walls and Secrets""(only appearance)",N/A,Scott Menville
Baatar,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Olive,Gray,Light tan,He/him,"Metal Clan,Toph Beifong,Lin Beifong,Team Avatar",Earth Empire,Earth,Architect,Architect of ZaofuEarth Empire prisoner(formely),Beifong familyMetal Clan,"""The Metal Clan""",Ruins of the Empire Part Three,Jim Meskimen
Baatar Jr.,"Zaofu,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Asparagus green,Dark brown,Light tan,He/him,"Metal Clan, Kuvira,Bolin,Varrick,Zhu Li",N/A,Earth,EngineerSoldier(formerly),Engineer of Zaofu(formerly)Prisoner of war(formerly)Second-in-command of the Earth Empire military(formerly),Beifong familyEarth Empire(formerly)Metal Clan,"""The Metal Clan""",Ruins of the Empire Part Three,Todd Haberkorn
Bai,"Fire Nation Capital,Fire Nation",Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,"Fire Sages,Fire Nation","Water Tribes,Earth Kingdom,Niuan,Teek,Aniki,Wenli,Xaipan,Sunlin,Yinzin",Fire,Fire Sage,N/A,Fire NationFire Sages,Avatar Legends: The Roleplaying Game-Quickstart(only appearance),N/A,N/A
Baljin,Northern Air Temple,Air Nomad,N/A,N/A,N/A,Gray,Brown,Light,He/him,"Ukiuk,Pushi,Sukaya,Qi Wei,Guiding Wind",Emerald,Air,Monk(formerly)Soldier,Jasmine Island protector,Jasmine Island protectorsGuiding Wind,Uncle Iroh's Adventure Guide(only appearance),N/A,N/A
Ban Buhai,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Tan,He/him,N/A,N/A,Earth,Spy,N/A,Earth Kingdom,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Banished servant,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Brown,Light,She/her,Fire Nation,Azula,Fire,N/A,Azula's servant(formerly),Fire Nation Royal Family(formerly)Azula's servants(formerly),"""Sozin's Comet, Part 3: Into the Inferno""(only appearance)",N/A,Grey DeLisle
Baraz and Ahnah,Earth Kingdom,Fire Nation(Baraz)Water Tribe(Ahnah),N/A,N/A,N/A,Brown,Black(Baraz)Brown(Ahnah),Brown,He/him,"Bolin,Varrick,their fellow fugitives","Earth Empire,Kuvira",Fire,N/A,Earth Empireprisoners(formerly),N/A,"""Reunion""","""Remembrances""",Steve Blum(Baraz)Nika Futterman(Ahnah)
Bathroom attendant,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Olive green,Black,Lightly tanned,He/him,Earth Empire,"Wu,Team Avatar",Earth,N/A,Agent of the military of the Earth Empire,Military of the Earth Empire,"""Reunion""(only appearance)",N/A,Jim Meskimen
Bato,"Wolf Cove,Southern Water Tribe",Water Tribe,N/A,N/A,N/A,Royal blue,Brown,Brown,He/him,"Team Avatar,Hakoda,Kanna, Southern Water Tribe, more ...","Ozai,Fire Navy officer",Water,Warrior,N/A,Southern Water Tribe,"""Bato of the Water Tribe""","""Sozin's Comet, Part 4: Avatar Aang""",Richard McGonagle
Ben Ta,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,She/her,Armadillo Bears,"Onomu,Fire Nation",Earth,Rebel,Leader of the Armadillo BearsMaster earthbender,Armadillo Bears,Adventure Booklet 3:Ash & Steel(only appearance),N/A,N/A
The Big Bad Hippo,"Gaoling,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Brown,Tan,He/him,"Team Avatar,Xin Fu,Earth Rumblefighters,Hakoda",Fire Nation,Earth,Earth Kingdom soldierProfessional earthbending fighter(formerly),N/A,Earth KingdomEarth Rumble(formerly),"""The Blind Bandit""",I Am Toph,Kevin Michael Richardson
Biho,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Brown,Light,He/him,"Sparrowkeet Air,Yuzhen Sr.,Yuzhen Jr.",N/A,Fire,Guard,Sergeant,Sparrowkeet Air,Adventure Booklet 4:Air & Wind(only appearance),N/A,N/A
Bin,Fire Nation,Fire Nation,N/A,N/A,N/A,Amber,Black,Light,He/him,N/A,N/A,Fire,N/A,N/A,N/A,Avatar Legends: The Roleplaying Game Core Book,The Pirates of Crimson Sails,N/A
Biyu,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Olive green,Brunette,Tanned,She/her,The warden,"Fire Army general,Suki",Earth,Thief,Fire Nation prisoner,N/A,"Suki, Alone(only appearance)",N/A,N/A
Bo,Southern Air Temple,Air Nomad,N/A,N/A,N/A,Gray,Brown,Light,They/them,"Ema,Chegu,Sherab,Norbu,Roku",N/A,Air,N/A,N/A,N/A,Adventure Booklet 2:Fire & Brimstone(only appearance),N/A,N/A
Boin,"Omashu,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Dark,Dark brown,He/him,"Nyanchi,Rioshon,Ezra,Zeebee",N/A,Earth,N/A,Earth Sagesdisciple,Earth Sages,An Urgent Request(only appearance),N/A,N/A
Bolin,"Republic City,United Republic",Earth Kingdom-Fire Nation,14,154AG,N/A,Pale green,Black,Light,He/him,"Team Avatar,Lin Beifong,Tenzinand his family, Varrick, Eska,Kai,Iroh, Ginger,Gommu,Toza, Opal,Suyin Beifong,Toph Beifong, more ...","Amon,Tarrlok,Unalaq,Earth QueenHou-Ting,Tahno,Equalists, rivalpro-bendingteams,Red Lotus,Earth Empire, more ...",Fire,"Pro-bender(formerly)Actor(formerly)Soldier(formerly)Policeman(formerly)Officiant(temporarily, in Zhu Li and Varrick's wedding)Presidential secretary",Fire Ferrets' earthbender and captain(formerly)Lead actor inThe Adventures of Nuktuk: Hero of the South(formerly)Corporal[7]in theEarth Empire(formerly)Earth Empire fugitive(formerly)Detective(formerly)Personal assistant to PresidentZhu Li Moon,Triple Threat Triad(formerly)Fire Ferrets(formerly)Team AvatarMilitary of the Earth Empire(deserted)Republic City Police(formerly)United Republic Government,"""A Leaf in the Wind""",Mystery of Penquan Island,P. J. Byrne
Boma,N/A,Unknown,N/A,N/A,N/A,Brown,White,Tan,He/him,"Yangchen,Nujian,Pik and Pak,Kavik","General Old Iron,shang merchants",N/A,N/A,AvatarYangchen's master,Yangchen's network,The Rift Part Two(flashback only),The Legacy of Yangchen,N/A
Boqin,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,He/him,"Earth Kingdom military,Team Avatar,Haru,Tyro","Fire Nation,Masaru,Wen,Juro,Goro,warden",Earth,Military official,CaptainCommander of Shen Guan(formerly)Commander of theprison rig,Earth Kingdom Army,Avatar: Generations(only appearance),N/A,N/A
Borte,N/A,Unknown,N/A,N/A,N/A,Brown,Black,Brown,She/her,N/A,N/A,N/A,N/A,High Priestess,League of Shattered Skulls,Avatar: Realms Collide(only appearance),N/A,N/A
Bosco,"Eastern coast,Earth Kingdom",Earth Kingdom,N/A,N/A,Before 171AG,Green,Brown,Light,He/him,"Earth KingKuei,Team Avatar,Ty Lee","Azula, theDai Li,Fire Nation,Hou-Ting",Earth,N/A,Earth King Kuei's pet,Earth Kingdom,"""City of Walls and Secrets""",North and South Part Three,Dee Bradley Baker
The Boulder,"Gaoling,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Tan,He/him,"Xin Fu,Earth Rumblefighters, Earth Kingdom,Earth Kingdom Army,Team Avatar,Water Tribes,The Pebble",Ozai,Earth,Professional earthbending fighterEarth Kingdom soldier(formerly),N/A,Earth KingdomEarth Rumble,"""The Blind Bandit""",I Am Toph,Mick Foley
Broadsword man,"River village,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Brown,Light,He/him,N/A,N/A,Earth,N/A,N/A,Earth Kingdom,"""The Swamp""(only appearance)",N/A,Joe Alaskey
Bujing,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Gray,Light,He/him,"Ozai,Fire Nation military","Zuko,Earth Kingdom,Water Tribe",Fire,Military official,High General,Fire Army,"""The Storm""(flashback only)","""Sozin's Comet, Part 1: The Phoenix King""(flashback only)",Keone Young
Bully guard,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,"Azula,the warden","Sokka,Zuko,Chit Sang,Suki",Fire,Prison guardGondola guard(formerly),N/A,Fire NationBoiling RockDomestic Forces,"""The Boiling Rock, Part 1""","Suki, Alone",Roger Rose
Bum-Ju,Spirit World,Spirits,N/A,N/A,N/A,Blue,Blue,Blue,He/him,"Bumi,Team Avatar,dragonfly bunny spirits",N/A,N/A,N/A,Spirit,Spirit World,"""The Guide""","""Cat-Owl's Cradle""",Dee Bradley Baker
Bumi,Southern Water Tribe,Air Nomad-Water Tribe,N/A,N/A,N/A,Pale blue,Brown,Light,He/him,"General Iroh,United Forces,Iroh,Bum-Ju,Team Avatar,Air Nation, more ...","Amon,Equalists,dark spirits,bison rustlers,Red Lotus, shark-squid, more ...",Air,Military official(retired),Airbender-in-trainingCommanderof the Second Division of the United Forces(retired),Air NationUnited Forces(formerly),"""Endgame""","""Cat-Owl's Cradle""","Dee Bradley Baker(in ""Endgame"")Richard Riehle(in BooksTwothroughFour)"
Bumi (King of Omashu),"Omashu,Earth Kingdom",Earth Kingdom,112,12BG,Between 102 and 124 AG,Green,White,Light,He/him,"Team Avatar,Flopsie, Earth Kingdom, Omashu,Order of the White Lotus","Ukano,Ozai,Azula",Earth,N/A,Earthbending masterKing of OmashuHigh-ranking member of the Order of the White Lotus,Earth KingdomOrder of the White Lotus,"""The King of Omashu""",Avatar: The Last Airbender: Quest for Balance,"André Sogliuzzo(inAvatar: The Last Airbender)Kevin Ng(young Bumi in ""The King of Omashu"")Sunil Malhotra(inQuest for Balance)"
Bumi's advisor,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Graying,Light,He/him,Lian,"Aang,Katara,Sokka,Momo,Haru,Appa",Earth,Government official,Bumi's advisor(formerly),N/A,Avatar: The Last Airbender(video game)(only appearance),N/A,N/A
Buo Ren,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,She/her,Earth Kingdom,N/A,Earth,Soldier,Captain,Earth Kingdom Army,Uncle Iroh's Adventure Guide(only appearance),N/A,N/A
Butakha,"Republic City,United Republic",Republicans,N/A,N/A,N/A,Brown,Black,Tan,He/him,"Fire Ferrets, otherpro-bendingteams",N/A,N/A,Pro-bending administrator,Director of the pro-bending leagueUpper-classUnited Republic citizen,N/A,"""The Revelation""(only appearance)",N/A,Kevin Michael Richardson
Buttercup Raiko,"Republic City,United Republic",Republicans,N/A,N/A,N/A,Brown,Black,Tan,She/her,"Raiko,United Republic of Nations,Bolin,Earth KingWu",N/A,N/A,Radio talk show host,First Lady of the United Republic(formerly)Co-host of the Raiko Report,United Republic Government,"""Rebel Spirit""",Avatar Legends: The Roleplaying Game-Republic City,Maria Bamford
Cabbage merchant,"Gaoling,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Dark brown,Gray,Tan,He/him,"Daisy,Cabbage Corp, Earth Kingdom","Thepassport attendant,Team Avatar, people and animals who destroy his cabbages",Earth,ChefBusinessmanMerchant of cabbage,"Founder of Cabbage Corp[4]Owner of ""Cabbage Delicacies Bistro""",Cabbage CorpEarth Kingdom,"""The King of Omashu""",Avatar: The Last Airbender: My Cabbages!,James Sie(inAvatar: The Last Airbender)Ricco Fajardo(inQuest for Balance)
Calm man,"Makapu Village,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Gray,Light,He/him,"AuntWu, Makapu Village",Fire Nation,Earth,N/A,N/A,Earth Kingdom,"""The Fortuneteller""(only appearance)",N/A,Clyde Kusatsu
Cam,Republic City;United Republic,Republicans,N/A,N/A,N/A,Brown,Brown,Tan,He/him,N/A,N/A,N/A,N/A,Front desk clerk,Republic City Four Elements,"""The Coronation""(only appearance)",N/A,John Michael Higgins
Canyon guide,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,White,Light,He/him,"Team Avatar,Gan Jin,Zhang",Canyon crawlers,Earth,Tour guide(formerly),N/A,Earth Kingdom,"""The Great Divide""(only appearance)",N/A,Leonard Stone
Caoli,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,"Zoryu,Dairin",N/A,Fire,Minister,ChancellorHead Palace HistorianStudent(formerly),Fire Nation,Epilogue(only appearance),N/A,N/A
Captured agent,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,He/him,"Long Feng, theDai Li","Azula,Iroh,Mai,Ty Lee,Fire Nation,Team Avatar",Earth,Dai Li agent,N/A,Dai Li,"""The Crossroads of Destiny""(only appearance)",N/A,Phil LaMarr
Chaejin,"Fire Nation Capital,Fire Nation",Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,"Saowon clan,Fire Sages","Keohso clan,Zoryu",Fire,N/A,High Templeliaison,Fire NationFire Nation Royal FamilyFire SagesSaowon clan,"""The Headmistress""","""The Edge""",N/A
Chaeryu,"Fire Nation Capital,Fire Nation",Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,Fire Nation,N/A,Fire,N/A,Fire Lord,Fire NationFire Nation Royal Family,"""Cultural Diplomacy""(mentioned only)",Epilogue(mentioned only),N/A
Chan,"Ember Island,Fire Nation",Fire Nation,N/A,N/A,N/A,Brown,Brown,Light,He/him,"Admiral Chan,Ruon-Jian, Fire Nation","Azula,Zuko,Mai,Ty Lee",Fire,N/A,Popular teen,Fire Nation,"""The Beach""(only appearance)",N/A,Erik von Detten
Chan (Fire Nation admiral),Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,"Ozai,Chan,Fire Nation Navy",Earth Kingdom,Fire,Military official,Admiralof the Eastern Fleet,Fire Nation Navy,"""The Awakening""(mentioned only)","""The Beach""(mentioned only)",N/A
